OutputID,StationID,Date,OutputKWh
EO001,PS001,2023-10-01,20000
EO002,PS002,2023-10-01,24000
EO003,PS003,2023-10-01,18000
EO004,PS004,2023-10-01,30000
EO005,PS005,2023-10-01,50000
EO006,PS006,2023-10-01,40000
EO007,PS007,2023-10-01,58000
EO008,PS008,2023-10-01,65000
EO009,PS009,2023-10-01,36000
EO010,PS010,2023-10-01,52000
EO011,PS011,2023-10-01,42000
EO012,PS012,2023-10-01,61000
EO013,PS013,2023-10-01,48000
EO014,PS014,2023-10-01,27000
EO015,PS015,2023-10-01,43000
EO016,PS001,2023-10-02,21000
EO017,PS002,2023-10-02,25000
EO018,PS003,2023-10-02,19500
EO019,PS004,2023-10-02,31000
EO020,PS005,2023-10-02,51000
EO021,PS006,2023-10-02,41000
EO022,PS007,2023-10-02,59000
EO023,PS008,2023-10-02,66000
EO024,PS009,2023-10-02,37000
EO025,PS010,2023-10-02,53000