ProjectID,Name,City,Budget
101,Eco-friendly Park,New York,5000000
102,Green Roof Initiative,Los Angeles,3000000
103,Solar City Program,San Francisco,7000000
104,Urban Forest Development,Chicago,2500000
105,Water Conservation Plan,Houston,4000000
106,Smart Waste Management,Phoenix,3500000
107,Cycling Infrastructure,Philadelphia,4500000
108,Public Transport Enhancement,San Antonio,6000000
109,Low-Emission Zones,San Diego,5000000
110,Energy-efficient Buildings,Dallas,8000000
111,Biodiversity Protection,San Jose,5500000
112,Green Energy Transition,Austin,6500000
113,Rainwater Harvesting,Jacksonville,4000000
114,Air Quality Monitoring,Fort Worth,3000000
115,Sustainable Housing,Columbus,7500000